,artists,acousticness,instrumentalness,valence,mmpopularity,track_genre
2643,819,0.0215,1.76e-05,0.43,0.47,2
2866,676,3.33e-05,0.000104,0.512,0.67,2
3,3,0.905,7.07e-05,0.143,0.71,0
1855,334,0.000498,0.896,0.293,0.17,1
6999,2089,0.375,0.0475,0.812,0.27,7
6100,1418,0.0077,0.0161,0.535,0.46,6
2174,736,0.0113,0.106,0.649,0.79,2
2265,760,0.0336,0.0,0.523,0.01,2
3844,1114,0.796,0.0,0.249,0.66,3
3942,1125,0.0884,0.757,0.285,0.65,4
7636,2060,0.85,6.82e-06,0.39,0.23,7
7140,2082,0.424,0.000256,0.458,0.26,7
1421,341,0.451,1.19e-06,0.783,0.21,1
632,104,0.434,0.012,0.884,0.58,0
3231,728,0.00119,0.513,0.408,0.01,3
2646,905,0.146,0.000371,0.921,0.0,2
1114,377,0.543,0.918,0.744,0.31,1
6282,1838,0.00352,0.646,0.0318,0.19,6
7689,2279,0.681,7.88e-06,0.452,0.21,7
5419,1594,0.987,0.914,0.0825,0.39,5
3668,794,0.227,0.514,0.435,0.01,3
5620,1534,0.0152,0.0,0.821,0.53,5
5031,1493,0.0897,0.964,0.232,0.48,5
1359,334,0.952,0.918,0.397,0.21,1
5847,1797,6.84e-06,0.916,0.0954,0.46,6
6701,1965,1.75e-05,0.653,0.38,0.18,6
6520,1837,4.35e-06,0.0125,0.399,0.19,6
6525,1985,7.68e-05,0.449,0.0978,0.18,6
2055,704,0.176,0.000618,0.68,0.0,2
3327,737,0.00899,0.00147,0.172,0.01,3
5740,1632,0.307,0.0,0.426,0.32,5
1169,397,0.0789,0.00157,0.879,0.29,1
8146,2358,0.363,1.01e-05,0.568,0.42,8
3914,738,0.775,0.000264,0.233,0.58,3
873,298,0.879,0.0,0.64,0.26,0
3950,1125,0.363,0.828,0.277,0.68,4
764,255,0.786,0.0563,0.697,0.52,0
1707,364,0.132,0.0143,0.821,0.19,1
2760,949,0.0904,0.0,0.406,0.5700000000000001,2
4511,1248,0.893,0.904,0.233,0.27,4
4039,1170,0.867,0.928,0.352,0.61,4
4543,1368,0.84,0.899,0.0372,0.52,4
2458,833,0.0206,1.16e-06,0.557,0.0,2
2568,750,0.557,0.0,0.317,0.42,2
2160,728,0.0039,0.657,0.101,0.0,2
5928,1777,2.47e-05,0.000743,0.112,0.22,6
1195,351,0.941,1.45e-06,0.224,0.27,1
3657,702,0.0425,0.0,0.569,0.6900000000000001,3
1962,375,0.275,0.00465,0.85,0.16,1
729,164,0.0675,6.24e-05,0.665,0.27,0
5624,1715,0.895,0.903,0.165,0.53,5
4961,1513,0.0891,0.856,0.843,0.43,5
6244,1931,3.16e-05,0.00552,0.233,0.18,6
1294,447,0.112,0.162,0.683,0.23,1
2441,831,2.68e-05,0.00843,0.316,0.0,2
38,20,0.841,0.0,0.414,0.0,0
3125,1036,0.034,8.33e-06,0.647,0.0,3
4827,1443,0.858,0.879,0.213,0.06,4
1635,579,0.026,0.851,0.744,0.18,1
180,45,0.394,0.0,0.705,0.62,0
107,49,0.319,4.66e-06,0.385,0.51,0
7676,2276,0.67,0.0267,0.829,0.21,7
5910,1781,7.13e-06,0.577,0.589,0.23,6
6587,2004,1.99e-05,0.825,0.0375,0.16,6
5940,1808,2.62e-06,0.119,0.341,0.23,6
6801,2049,0.676,8.31e-06,0.816,0.34,7
6147,1901,0.000147,0.0593,0.0443,0.19,6
4889,1481,0.171,0.0,0.3,0.63,5
3627,1084,0.123,0.165,0.513,0.0,3
5509,1525,0.756,0.799,0.0427,0.38,5
3052,1031,0.00959,0.00449,0.16,0.03,3
4058,1178,0.972,0.926,0.0378,0.0,4
6181,1807,8.89e-06,0.688,0.253,0.19,6
1305,455,0.101,0.887,0.897,0.23,1
1168,396,0.638,0.0304,0.498,0.3,1
6124,1792,0.000373,7.98e-06,0.406,0.21,6
5506,1677,0.518,0.0,0.541,0.36,5
7616,2262,0.862,0.000566,0.487,0.4,7
1754,345,0.715,0.915,0.964,0.19,1
1943,669,0.0628,0.0,0.689,0.16,1
3507,1072,0.194,9.81e-05,0.72,0.01,3
2673,676,0.0793,0.000266,0.359,0.72,2
3177,708,0.00395,5.22e-05,0.489,0.0,3
3859,700,0.615,0.0248,0.166,0.75,3
5504,1653,0.828,0.000207,0.252,0.5,5
7857,2293,0.951,1.11e-06,0.536,0.0,8
6339,1892,0.0102,0.0374,0.212,0.17,6
3580,771,0.00151,4.04e-06,0.46,0.0,3
2483,846,0.517,0.0,0.185,0.64,2
406,45,0.746,0.0,0.294,0.5700000000000001,0
300,122,0.841,0.0,0.391,0.55,0
1311,331,0.752,1.02e-05,0.532,0.22,1
7587,2051,0.393,0.25,0.704,0.22,7
6724,1852,1.18e-06,0.904,0.0777,0.17,6
3011,676,2.55e-05,0.000173,0.72,0.8300000000000001,3
6212,1791,3.83e-05,0.47,0.465,0.2,6
2242,755,0.0394,0.0,0.776,0.0,2
3010,1020,0.186,0.0,0.569,0.0,3
3800,1048,0.00662,0.0,0.711,0.77,3
32,4,0.366,0.0,0.564,0.0,0
862,139,0.00921,0.0469,0.49,0.26,0
1682,482,0.288,0.0,0.669,0.17,1
4593,1383,0.995,0.966,0.125,0.49,4
7261,2106,0.738,3.25e-05,0.801,0.23,7
8282,2419,0.000776,1.58e-06,0.938,0.37,8
3444,762,0.245,0.000679,0.175,0.79,3
8234,2398,0.0274,0.00395,0.743,0.67,8
3920,867,0.0905,0.000513,0.643,0.48,3
743,260,0.542,0.0,0.565,0.39,0
1800,627,0.447,0.933,0.372,0.17,1
7535,2059,0.874,0.0,0.471,0.24,7
2601,891,0.00229,0.0,0.493,0.0,2
813,56,0.764,0.00154,0.489,0.45,0
85,21,0.904,0.00105,0.351,0.61,0
3194,704,0.328,0.0,0.148,0.0,3
8299,2407,0.493,3.37e-06,0.887,0.38,8
514,3,0.945,1.03e-06,0.576,0.48,0
5950,1842,1.76e-06,0.897,0.151,0.21,6
7821,2297,0.949,0.0,0.183,0.0,8
5953,1808,0.00103,0.451,0.488,0.21,6
3084,702,0.000666,0.0,0.432,0.0,3
3819,1105,0.592,0.00172,0.616,0.0,3
7504,2054,0.668,3.46e-06,0.673,0.21,7
1575,558,0.29,0.298,0.454,0.49,1
8076,2332,0.262,0.537,0.53,0.73,8
3832,808,0.00932,0.492,0.549,0.0,3
6408,1876,1.81e-06,0.00956,0.459,0.17,6
1752,366,0.0791,0.847,0.529,0.18,1
2506,854,0.0109,0.0,0.899,0.0,2
8337,2360,0.465,0.497,0.173,0.68,8
7742,2143,0.00462,5.41e-06,0.373,0.23,7
6046,1879,4.48e-05,0.0,0.105,0.22,6
8273,2418,0.101,3.37e-06,0.904,0.65,8
975,329,0.942,0.0437,0.618,0.25,0
3502,1073,0.168,0.0,0.757,0.0,3
6606,1809,0.000997,0.204,0.0362,0.16,6
965,162,0.902,0.099,0.508,0.25,0
92,19,0.218,3.46e-06,0.33,0.0,0
7617,2263,0.815,0.00275,0.162,0.55,7
4134,1167,0.966,0.889,0.0379,0.29,4
8135,2353,0.408,3.53e-06,0.824,0.0,8
6349,1797,1.53e-05,0.878,0.294,0.18,6
3316,1043,0.331,1.01e-05,0.281,0.59,3
570,191,0.647,0.00868,0.423,0.28,0
8289,2422,0.303,5.84e-05,0.66,0.7000000000000001,8
7790,2295,0.303,0.0,0.774,0.0,8
1594,374,0.019,0.748,0.601,0.17,1
761,7,0.69,0.0,0.141,0.16,0
1648,419,0.232,7.92e-05,0.707,0.18,1
4851,1462,0.00079,4.05e-06,0.665,0.68,5
8009,2312,0.819,0.432,0.892,0.0,8
5454,1661,0.446,0.0,0.528,0.35,5
7450,2148,0.304,0.00742,0.734,0.22,7
5286,1474,0.152,0.0,0.248,0.44,5
8402,2379,0.123,1.15e-05,0.754,0.38,8
3931,875,0.00593,0.00456,0.507,0.48,3
6704,1866,4.77e-05,0.0,0.163,0.18,6
6711,1934,6e-06,0.0255,0.0383,0.17,6
6565,1815,1.35e-05,0.135,0.127,0.16,6
8309,2434,0.714,0.000553,0.644,0.58,8
2359,798,0.0753,0.0,0.735,0.0,2
3689,674,0.00076,0.0049,0.172,0.78,3
2222,752,0.297,0.0,0.334,0.52,2
6111,1822,6.14e-05,0.213,0.408,0.19,6
5737,1752,0.00182,0.000136,0.643,0.0,5
1270,355,0.405,1.68e-05,0.961,0.25,1
2327,780,0.0658,0.0,0.528,0.62,2
2305,773,0.193,0.734,0.951,0.0,2
6979,2117,0.266,0.95,0.608,0.26,7
6345,1807,0.0712,0.000619,0.292,0.18,6
6560,1814,1.11e-06,0.898,0.294,0.19,6
4986,1525,0.00234,0.661,0.201,0.42,5
5908,1827,0.0227,0.72,0.0988,0.43,6
282,15,0.916,0.0,0.14,0.39,0
1261,428,0.0681,0.0034,0.762,0.24,1
3698,1032,0.468,1.1e-06,0.175,0.41,3
2905,1000,0.0164,0.000763,0.662,0.76,2
5068,1486,0.931,0.91,0.258,0.23,5
2884,947,0.164,0.00185,0.696,0.45,2
7968,2306,0.807,0.0164,0.399,0.02,8
8012,824,0.081,2.85e-06,0.325,0.66,8
8081,2335,0.0581,0.00142,0.622,0.0,8
7143,2060,0.305,0.0489,0.645,0.27,7
5090,1556,0.000273,0.00373,0.673,0.55,5
1327,351,0.509,0.0172,0.26,0.23,1
1472,353,0.00341,0.0823,0.82,0.22,1
471,189,0.956,9.88e-05,0.231,0.52,0
6607,1875,5.84e-05,0.923,0.0341,0.16,6
6447,1808,6.24e-06,0.734,0.324,0.18,6
1658,333,0.82,0.834,0.722,0.19,1
8175,2369,0.0934,0.00166,0.28,0.64,8
7874,2293,0.961,0.0,0.64,0.0,8
4315,1296,0.787,0.0,0.188,0.47,4
4069,1181,0.782,0.934,0.074,0.0,4
882,208,0.877,1.38e-05,0.581,0.27,0
7610,2193,0.892,0.0148,0.641,0.21,7
7515,2146,0.455,7.03e-06,0.906,0.21,7
2952,673,0.0678,0.149,0.337,0.87,3
3895,783,0.0186,0.0,0.203,0.66,3
903,306,0.76,4.18e-05,0.148,0.25,0
5368,1553,0.0286,0.0,0.666,0.55,5
1529,540,0.00616,0.851,0.832,0.18,1
4966,1516,0.523,0.0,0.608,0.5,5
999,331,0.178,0.0,0.594,0.41,1
2513,741,0.000501,0.0,0.293,0.71,2
7114,2153,0.616,2.95e-06,0.963,0.25,7
6825,2065,0.881,0.729,0.957,0.3,7
5027,1456,0.00185,0.00258,0.301,0.58,5
2241,755,0.0394,0.0,0.776,0.0,2
8493,2506,0.0129,0.0,0.541,0.34,8
4199,1161,0.992,0.934,0.109,0.6,4
3089,703,5.71e-05,0.838,0.455,0.02,3
815,93,0.832,0.0,0.27,0.47,0
2621,714,0.000805,0.0928,0.51,0.74,2
4117,1205,0.882,0.815,0.327,0.0,4
6553,1813,1.45e-06,0.384,0.0594,0.17,6
4672,1129,0.96,0.926,0.0366,0.44,4
3087,685,0.00701,0.0,0.769,0.0,3
1303,453,0.54,0.629,0.883,0.22,1
809,172,0.702,0.00195,0.623,0.44,0
713,191,0.836,6.01e-05,0.704,0.27,0
1043,351,0.405,5.19e-06,0.429,0.33,1
2510,859,0.0641,5.82e-05,0.567,0.7000000000000001,2
8346,899,0.307,0.0,0.178,0.4,8
676,144,0.00897,0.0,0.63,0.28,0
8415,2430,0.301,0.345,0.948,0.67,8
3976,1142,0.246,0.872,0.0373,0.0,4
3873,874,0.143,2.09e-06,0.831,0.0,3
5187,1540,0.679,0.842,0.85,0.51,5
7367,2218,0.791,0.0016,0.967,0.24,7
1897,656,0.162,2.61e-05,0.854,0.16,1
5752,1455,8.95e-05,0.0,0.629,0.53,5
8426,2480,0.416,0.0,0.528,0.34,8
8070,2318,0.213,4.45e-05,0.342,0.71,8
4516,1248,0.811,0.853,0.346,0.27,4
2528,863,0.00197,0.0271,0.447,0.48,2
751,122,0.911,0.0,0.246,0.54,0
3504,1073,0.168,0.0,0.757,0.0,3
6851,2078,0.304,0.0,0.879,0.32,7
6561,1814,0.0,0.828,0.0545,0.18,6
5400,1477,0.152,0.943,0.284,0.48,5
8086,2337,0.436,1.11e-06,0.64,0.0,8
138,7,0.301,3.23e-05,0.727,0.19,0
480,195,0.316,0.0,0.882,0.71,0
5394,1642,0.0635,0.0,0.457,0.54,5
3557,786,0.613,1.12e-06,0.13,0.02,3
4204,1144,0.944,0.968,0.0266,0.0,4
1187,403,0.643,1.86e-05,0.766,0.26,1
7543,2044,0.484,0.0,0.656,0.21,7
7045,2051,0.341,0.595,0.637,0.26,7
6326,1776,3.08e-06,0.554,0.439,0.17,6
6405,1891,2.64e-06,0.726,0.126,0.17,6
1809,395,0.000155,0.894,0.279,0.18,1
2982,1023,0.0778,3.65e-05,0.94,0.0,3
7848,2293,0.961,0.0,0.64,0.0,8
1499,351,0.0929,5.72e-05,0.72,0.21,1
4487,1302,0.769,0.00602,0.139,0.5,4
3056,702,0.000666,0.0,0.432,0.04,3
327,136,0.797,0.0,0.421,0.52,0
2182,677,0.58,0.00032,0.338,0.0,2
7764,2287,0.00713,0.0137,0.221,0.77,8
8233,2397,0.202,0.193,0.371,0.67,8
8120,718,0.00417,0.00975,0.607,0.73,8
7837,2293,0.939,0.000156,0.107,0.0,8
6540,1991,1.51e-06,0.000689,0.194,0.16,6
2661,897,0.363,0.000158,0.774,0.71,2
8208,2385,0.00777,9.2e-05,0.902,0.41,8
7191,2172,0.125,0.000142,0.837,0.23,7
8508,2510,0.818,0.0,0.304,0.41,8
6858,2079,0.772,5.05e-05,0.504,0.32,7
3716,1091,0.773,1.96e-06,0.429,0.0,3
7373,2220,0.928,0.523,0.265,0.44,7
6899,2091,0.579,0.0,0.965,0.29,7
3278,730,0.000187,0.0939,0.791,0.0,3
5030,1493,0.000132,0.375,0.512,0.5,5
5691,1735,0.0226,0.0,0.533,0.47,5
2146,730,0.000187,0.0939,0.791,0.0,2
2206,742,0.0373,1.62e-06,0.661,0.0,2
7019,2052,0.634,1.64e-05,0.71,0.26,7
4423,1247,0.087,0.0,0.214,0.46,4
7625,2095,0.0519,2.02e-06,0.802,0.4,7
8162,2363,0.0406,0.00201,0.68,0.67,8
8296,2427,0.151,0.0,0.917,0.38,8
6638,1777,7.08e-05,0.0289,0.332,0.43,6
1890,653,0.232,0.0,0.957,0.18,1
7177,2134,0.985,0.797,0.68,0.24,7
2888,994,0.177,9.92e-05,0.805,0.44,2
949,265,0.609,0.0,0.324,0.48,0
4356,1131,0.0186,7.12e-06,0.608,0.18,4
3210,702,0.00045,0.0,0.395,0.72,3
6764,1836,0.000928,0.953,0.158,0.15,6
5110,1474,0.216,0.0,0.591,0.52,5
6830,2069,0.536,0.00728,0.484,0.3,7
1247,425,0.11,0.0246,0.883,0.48,1
2013,682,0.00285,0.781,0.69,0.0,2
7503,2060,0.686,2.81e-05,0.195,0.5700000000000001,7
435,180,0.931,1.1e-05,0.395,0.54,0
1345,469,0.2,0.0,0.711,0.22,1
6670,1816,1.83e-06,0.815,0.0731,0.17,6
5591,1496,0.364,0.0,0.813,0.44,5
3871,848,0.00558,1.31e-05,0.922,0.49,3
6866,2047,0.6,0.00321,0.425,0.3,7
1401,499,0.0407,0.00188,0.848,0.2,1
1659,586,0.0772,0.911,0.745,0.18,1
455,41,0.165,0.0,0.0844,0.45,0
3605,678,0.00686,0.0,0.218,0.62,3
8133,2353,0.118,0.0,0.699,0.0,8
7956,2304,0.00352,0.0114,0.609,0.01,8
2529,740,0.0319,0.00108,0.73,0.48,2
5256,1545,0.873,0.695,0.104,0.6,5
5075,1456,0.000483,0.0,0.613,0.61,5
7826,2293,0.733,0.0,0.836,0.0,8
1634,566,0.0231,0.824,0.964,0.18,1
8151,2344,0.0526,0.0094,0.932,0.0,8
2667,914,0.0562,0.0121,0.666,0.75,2
4255,1194,0.451,0.76,0.199,0.51,4
4692,1141,0.84,0.888,0.0456,0.42,4
1745,486,0.397,0.531,0.949,0.16,1
4148,1220,0.0486,0.0,0.185,0.54,4
2792,907,0.0611,0.000337,0.922,0.46,2
6154,1904,0.000105,0.427,0.0815,0.19,6
6739,1931,3.88e-06,0.696,0.0389,0.16,6
7532,2249,0.785,0.000255,0.802,0.22,7
6833,2070,0.614,0.0,0.631,0.31,7
3034,1025,0.006,0.000708,0.28,0.01,3
8380,2417,0.861,0.575,0.462,0.36,8
3720,808,0.138,2.4e-05,0.931,0.5,3
494,1,0.968,0.00321,0.118,0.28,0
4582,1130,0.614,0.725,0.0918,0.45,4
4200,1227,0.989,0.85,0.124,0.58,4
8313,2435,0.183,0.315,0.17,0.52,8
4125,1209,0.592,0.00687,0.156,0.26,4
2743,943,0.0116,0.000518,0.364,0.0,2
4288,1283,0.737,6.42e-05,0.0953,0.5700000000000001,4
3067,685,0.000901,0.0,0.66,0.0,3
3594,1081,0.0612,1.69e-06,0.771,0.5,3
5878,1813,3.3e-06,0.664,0.615,0.23,6
2636,905,0.869,0.458,0.193,0.0,2
5836,1790,0.000892,0.384,0.213,0.28,6
2456,837,0.0137,4.52e-05,0.342,0.0,2
7768,2289,0.649,0.129,0.485,0.76,8
2736,927,0.0936,0.000156,0.865,0.46,2
2008,689,0.0601,0.0,0.662,0.0,2
4611,1147,0.914,0.0,0.178,0.44,4
8400,2468,0.683,0.0,0.578,0.0,8
3058,1031,0.00721,2.06e-06,0.298,0.0,3
6295,1944,3.61e-06,0.969,0.163,0.17,6
4461,1348,0.95,0.943,0.0962,0.5,4
7860,2297,0.909,0.0,0.377,0.0,8
7902,2293,0.764,0.0,0.639,0.0,8
7620,2265,0.907,0.0852,0.283,0.21,7
496,28,0.854,0.0749,0.0621,0.41,0
3000,1021,0.000467,4.66e-05,0.402,0.04,3
5701,1737,0.285,3.13e-05,0.42,0.33,5
6712,1976,3.77e-06,0.843,0.147,0.16,6
4305,1155,0.961,0.902,0.0856,0.61,4
395,103,0.188,0.0,0.719,0.32,0
8199,83,0.1,0.316,0.857,0.0,8
5386,1639,0.0657,0.0,0.671,0.56,5
1225,334,0.00208,0.0119,0.492,0.28,1
3833,1107,0.15,0.0,0.431,0.72,3
7770,2290,0.755,0.123,0.362,0.01,8
6864,2055,0.728,0.000415,0.825,0.33,7
1439,488,0.24,0.602,0.963,0.21,1
251,27,0.717,0.0,0.363,0.54,0
2385,807,0.196,2.62e-06,0.683,0.51,2
422,45,0.753,1.71e-06,0.286,0.52,0
2729,938,0.165,2.13e-05,0.692,0.46,2
4205,1236,0.991,0.898,0.0755,0.59,4
7899,2293,0.764,0.0,0.639,0.0,8
4617,1369,0.978,0.829,0.173,0.43,4
2229,734,0.00504,0.0,0.745,0.01,2
7327,2103,0.267,0.0561,0.866,0.22,7
461,15,0.868,1.99e-05,0.299,0.33,0
6978,2116,0.047,0.000121,0.964,0.26,7
5819,1783,0.000223,0.535,0.0992,0.26,6
4468,1248,0.79,0.855,0.145,0.27,4
7814,2293,0.822,0.0,0.681,0.0,8
692,231,0.807,0.0,0.836,0.49,0
8239,2402,0.311,0.0,0.475,0.4,8
6850,2077,0.926,0.00106,0.522,0.32,7
399,147,0.983,0.0532,0.148,0.58,0
2937,731,0.446,0.0,0.885,0.44,2
6555,1867,0.00142,0.0132,0.2,0.18,6
2962,1019,0.598,0.0,0.312,0.7000000000000001,3
7537,2251,0.554,0.53,0.972,0.21,7
997,331,0.148,0.0,0.728,0.4,1
4191,1174,0.988,0.952,0.24,0.58,4
3703,1091,0.14,0.101,0.504,0.0,3
8449,2379,0.23,3.38e-06,0.701,0.37,8
7888,2293,0.768,0.0,0.866,0.01,8
468,93,0.816,0.0,0.512,0.47,0
5833,1789,4.37e-05,0.589,0.137,0.25,6
7872,2293,0.764,0.0,0.639,0.0,8
3482,760,0.0336,0.0,0.523,0.01,3
4610,1134,0.994,0.931,0.0999,0.51,4
7411,2054,0.475,0.313,0.468,0.22,7
4469,1248,0.608,0.602,0.164,0.27,4
4608,1135,0.347,0.798,0.482,0.46,4
5887,1817,1.76e-05,0.329,0.0978,0.23,6
4791,1440,0.439,0.885,0.036,0.4,4
8156,977,0.0337,0.0,0.691,0.0,8
7716,2068,0.521,0.572,0.671,0.21,7
217,90,0.826,0.0,0.485,0.44,0
171,72,0.851,0.0,0.338,0.55,0
3306,1041,0.000164,0.846,0.0364,0.04,3
3601,803,0.0731,1.97e-06,0.267,0.66,3
5576,1486,0.143,0.936,0.106,0.42,5
142,7,0.0265,0.0,0.548,0.2,0
3778,856,0.156,0.0,0.398,0.0,3
4052,1174,0.959,0.889,0.107,0.65,4
2980,681,0.00861,0.0273,0.795,0.0,3
8027,2318,0.313,0.185,0.15,0.76,8
1794,625,0.562,0.221,0.857,0.18,1
5879,1814,5.56e-05,0.00527,0.333,0.25,6
6456,1874,8.46e-05,0.0444,0.131,0.19,6
2861,702,0.000644,0.00246,0.335,0.66,2
5452,1659,0.0858,0.0,0.587,0.36,5
6324,1776,1.93e-05,0.857,0.24,0.17,6
8361,2453,0.0166,0.0,0.763,0.43,8
6335,1948,0.0611,0.929,0.0574,0.19,6
5139,1515,0.015,0.0,0.556,0.56,5
6393,1956,5.63e-06,0.84,0.157,0.18,6
8054,813,0.665,0.000178,0.562,0.0,8
6179,1837,1.84e-06,0.008,0.141,0.21,6
1400,494,0.0403,0.712,0.914,0.2,1
6940,2071,0.593,0.00162,0.187,0.3,7
3369,765,9.24e-06,0.00102,0.504,0.0,3
2271,761,0.00731,0.000838,0.243,0.77,2
2676,681,0.00596,0.0168,0.784,0.68,2
495,186,0.739,0.0,0.268,0.47,0
4840,1453,0.0495,0.0,0.332,0.73,5
4223,1190,0.963,0.925,0.151,0.45,4
5231,1457,0.203,0.00154,0.16,0.54,5
3843,876,0.00132,0.000142,0.609,0.73,3
2846,976,0.0244,0.0,0.594,0.0,2
